AvgCaptionLen,stat_StdPhotoDis,AvgPhotoDis,MeanPhotoDisbyCap,CaptionPercentage,PredictedStd,TopWordPopularity,Zscore,Entropy,diff_AvgPhotoDis,diff_TopWordPopularity,diff_Entropy,tfidf1,tfidf2,tfidf3,NumberOfHashtages1,NumberOfHashtages2,NumberOfHashtages3,NumberOfPhotsoContaingTopWord1,NumberOfPhotsoContaingTopWord2,NumberOfPhotsoContaingTopWord3,Top10PhotoLocationNameFreq,label
38.289474,0.069767,0.353653,7.644589,0.904762,3.297443,0.087719,3.506949,2.950029,-0.000418,18.936592,0.097876,0.656583,0.287262,0.159348,0.75,0.75,1.5,4,4,4,0.4,1
64.305556,0.086729,0.302707,7.414304,0.923077,3.645147,0.157407,4.412857,2.795785,0.014535,18.155724,0.104912,0.420662,0.412724,0.324645,2.333333,1.5,0.666667,6,6,6,0.9,1
47.470588,0.066866,0.14361,6.690859,0.944444,0.880227,0.372549,13.850105,2.432575,-0.123125,19.302663,1.060367,2.205236,2.137137,1.206566,0.894737,0.894737,1.333333,19,19,12,0.7,1
36.055556,0.040459,0.313087,7.532804,0.9,1.835522,0.148148,3.960132,2.801128,0.027616,17.943686,0.190568,0.767268,0.336401,0.327837,2.166667,1,3,6,1,1,0.2,1
25.473684,0.0759,0.32686,7.566122,0.826087,2.357102,0.140351,4.415037,2.858459,0.01221,19.580601,0.21819,1.242331,0.351171,0.286794,1.25,0,2.5,4,3,2,0.5,1
65.2,0.084398,0.222571,7.476159,0.909091,1.830744,0.122222,5.468287,2.764275,-0.029459,17.080968,0.172816,0.520792,0.429163,0.408578,3.555556,6.666667,11.666667,9,6,3,0.5,1
46.632653,0.052787,0.381551,7.621113,0.859649,4.564539,0.095238,4.540612,2.915963,0.030416,16.658461,0.224595,0.687248,0.19412,0.162277,1.125,5.666667,5,8,3,3,0.7,1
56.071429,0.096642,0.301995,8.066489,0.848485,2.697425,0.130952,3.618833,2.615977,-0.070454,19.845552,0.236724,0.702671,0.382534,0.309766,3.714286,1.2,1.5,7,5,4,0.6,1
50.481481,0.082325,0.177658,7.589744,0.870968,1.312194,0.160494,6.324119,2.345161,-0.056901,19.522818,0.114388,0.96443,0.807272,0.495877,1,1,1,6,4,4,0.3,1
48.564103,0.084164,0.329141,7.627305,0.906977,2.745657,0.059829,4.351542,2.606827,0.016667,18.226967,0.166234,0.260225,0.239432,0.224679,0,0.5,1,3,2,2,0.3,1
28.787879,0.141639,0.141706,7.090849,0.868421,1.145783,0.313131,5.213126,2.041483,-0.021404,15.234352,0.158824,1.337271,0.906771,0.567049,1,1,0.692308,15,13,13,2.2,1
43.08,0.110004,0.327117,7.872588,0.833333,2.307623,0.093333,4.799734,2.396447,-0.001052,16.715708,0.094542,0.453854,0.231292,0.217963,2,1.2,0.666667,8,5,3,0.3,1
81.222222,0.10781,0.246164,7.777444,0.9,1.816709,0.148148,3.684684,2.603358,0.022032,20.06439,0.382666,0.960138,0.528438,0.37068,2.5,3.5,1,4,2,2,0.3,1
66.7,0.084731,0.196964,7.606273,0.909091,1.83465,0.15,4.945675,2.902272,-0.118804,18.679683,0.390498,0.864124,0.713391,0.520792,3.2,4,7,5,4,2,0.3,1
43.411765,0.061236,0.347279,7.78283,0.871795,6.98869,0.098039,3.185542,2.76596,0.069671,17.988443,0.163758,0.535429,0.419642,0.383865,3.5,1.25,5.333333,6,4,3,0.5,1
41.88,0.100854,0.20342,7.032776,1,1.07646,0.173333,10.217614,2.29162,-0.11293,19.659697,0.650636,1.072415,0.903961,0.887103,2.4,2.75,0.25,5,4,4,0.7,1
50.333333,0.072883,0.194067,7.98008,0.75,1.14522,0.126984,5.387129,2.217474,-0.091663,18.191933,0.384354,0.966551,0.297026,0.297026,1.5,0,2.5,4,2,2,0.5,1
47.714286,0.039893,0.358751,7.564521,0.945946,3.438526,0.057143,4.312091,2.941444,-0.009327,16.565739,0.24632,0.337204,0.248598,0.237617,4.4,2,2,5,5,5,0.7,1
24,0.064881,0.186237,7.137753,1,0.681173,0.166667,9.290744,2.822182,0.012137,18.156115,0.058824,1.340519,0.626721,0.619576,0.5,0,2,2,1,1,0.25,1
43.714286,0.167152,0.152257,7.683112,0.875,1.680242,0.142857,4.099693,2.139722,-0.204184,18.597706,0.287752,0.807108,0.716253,0.644968,1.5,2,1.5,2,2,2,0.8,1
50.642857,0.118387,0.216948,8.034168,0.777778,2.077387,0.119048,3.415052,2.650864,-0.109066,17.727021,0.198421,0.574049,0.548521,0.432516,3.5,3.5,0,2,2,1,0.5,1
42.529412,0.108039,0.200729,7.290698,0.89083,5.868432,0.202614,5.402154,2.128293,-0.09937,12.037398,0.267507,1.510776,0.453447,0.401032,1.725275,1.37931,4,91,29,22,8.6,1
63.857143,0.048084,0.149944,7.626325,1,1.680243,0.095238,3.771936,2.399386,-0.268526,19.856078,0.354835,0.562007,0.538072,0.477502,9,3,9,2,2,2,0.9,1
43.157895,0.075571,0.296278,7.804106,0.791667,1.348274,0.114035,7.343283,2.797175,0.047037,15.695379,0.063868,0.60626,0.322562,0.258029,0.833333,4,0,6,5,3,1,1
43.666667,0.075899,0.218707,7.692794,0.857143,2.327154,0.111111,4.581378,2.819119,-0.044282,20.302191,0.159767,0.864124,0.317063,0.286109,2.666667,4,3.5,6,2,2,0.2,1
54.537634,0.064766,0.30768,7.679893,0.861111,2.75716,0.082437,4.679373,2.883872,-0.029549,15.314699,0.163439,0.536554,0.380714,0.26044,1.555556,5.125,0.142857,9,8,7,1.2,1
42.565217,0.096586,0.345427,7.605857,0.901961,2.969294,0.065217,4.610078,2.830978,0.085111,14.544744,0.301002,0.253004,0.192426,0.164607,3,7.285714,4.4,7,7,5,1.1,1
48.576923,0.068846,0.333134,7.647302,0.928571,2.99575,0.115385,4.381276,2.889773,-0.014916,18.903251,0.168708,0.559759,0.434597,0.395555,2,2,2.666667,3,3,3,0.2,1
48,0.104826,0.202487,7.417781,0.944444,3.277936,0.156863,3.507307,2.597894,-0.097211,20.617938,0.334756,1.282138,0.51182,0.347122,1.5,1,0,4,2,2,0.4,1
39.529412,0.11214,0.222869,7.885221,0.772727,4.167753,0.098039,3.398542,2.3492,-0.103365,20.359892,0.299442,0.462936,0.366914,0.35619,1.333333,0.5,0,3,2,1,0.5,1
41.727273,0.06937,0.219034,7.380061,0.956522,2.859345,0.121212,3.792247,2.929229,-0.063165,19.591737,0.328685,1.238429,0.283525,0.275237,0.8,1.666667,3.5,5,3,2,0.4,1
43.888889,0.090717,0.235741,7.384022,0.964286,0.917698,0.135802,8.887873,2.587303,-0.080379,20.232096,0.446478,0.978154,0.734312,0.403636,1,1.166667,2,7,6,2,0.4,1
50.409091,0.119697,0.253807,8.219931,0.758621,2.18266,0.121212,5.576788,2.172602,-0.069912,19.809557,0.28952,0.504036,0.480185,0.297889,2.833333,11.5,3,6,2,2,0.2,1
52.215517,0.089437,0.25737,7.678099,0.878788,2.421468,0.112069,6.579885,2.609985,-0.062088,14.221948,0.306356,0.440987,0.352222,0.290303,3.857143,5.071429,4,21,14,11,3,1
44.529412,0.05691,0.181478,7.683908,0.809524,1.784653,0.176471,5.326569,2.841085,-0.121043,18.323283,0.326556,1.270771,0.35619,0.35619,1,4,1,5,2,2,0.3,1
37.771429,0.042437,0.345173,7.718629,0.886076,2.845009,0.047619,5.028699,2.92591,-0.021873,15.992662,0.15927,0.121813,0.11608,0.099358,2.2,0,1,5,3,3,0.7,1
40.540541,0.042733,0.359565,7.665727,0.902439,2.727783,0.117117,5.108303,2.86288,0.038201,17.618793,0.292149,0.542029,0.434763,0.294545,0.833333,1,1.333333,6,6,3,0.5,1
57.052632,0.072582,0.310853,7.567404,0.904762,6.922657,0.096491,3.487528,2.733403,-0.02288,17.158835,0.180832,0.505522,0.457945,0.328292,2,2,6.75,6,5,4,0.8,1
41.55814,0.07612,0.206807,7.875847,0.811321,1.354594,0.077519,8.433505,2.03557,-0.071639,14.467726,0.205285,0.354027,0.337439,0.33181,1.208333,1.4,1.2,24,20,10,3.7,1
31.111111,0.098948,0.313085,7.087054,1,1.122867,0.185185,7.009301,2.821888,-0.071397,22.868557,0.143609,1.848132,0.672802,0.627751,1.25,4,4,4,1,1,0.333333,1
55.367347,0.109753,0.371983,7.509315,0.924528,9.919432,0.122449,3.274898,2.402879,-0.042068,16.411184,0.297663,0.330797,0.295016,0.267492,3.916667,4,6,12,6,6,1,1
44.375,0.048773,0.291118,7.816223,0.888889,1.923946,0.0625,4.495107,2.907691,-0.018701,19.689187,0.220623,0.389846,0.389846,0.360471,7,0,0,1,1,1,0.1,1
42.190476,0.087085,0.226812,8.141804,0.777778,2.649691,0.111111,4.165837,2.461956,-0.104267,18.587867,0.25443,0.463116,0.297026,0.297026,1,1.5,0.5,3,2,2,0.2,1
53.75,0.091446,0.367676,7.678645,0.857143,7.430343,0.111111,3.684571,2.435258,-0.040932,14.736896,0.149446,0.273065,0.224957,0.210331,3.090909,0.5,1.5,11,4,4,1.5,1
52.5,0.03388,0.117358,7.305976,0.888889,1.680243,0.25,3.571519,2.752715,-0.251954,21.654097,0.199165,1.412439,1.253442,0.959912,0,1,0,2,2,2,0.222222,1
43.28,0.103982,0.354157,7.712012,0.838926,8.102404,0.170667,3.469859,2.086229,-0.03369,12.213664,0.154272,0.596493,0.367,0.30068,3.794118,3.2,1.866667,34,25,15,3.3,1
52.076923,0.08283,0.282219,7.683866,0.866667,2.177462,0.179487,3.632334,2.803509,-0.024811,20.508091,0.185934,0.838321,0.497209,0.479811,2.8,1.5,0,5,2,2,0.4,1
46.928571,0.072084,0.323797,7.439476,0.965517,1.428824,0.053571,4.348939,2.872979,0.013732,17.881289,0.131456,0.222769,0.114723,0.108129,3.666667,3,0,3,3,3,0.7,1
33.6,0.137488,0.198596,7.466796,0.909091,2.319301,0.133333,3.546896,2.460964,-0.128952,20.759993,0.605482,1.089817,0.605522,0.495661,2,3,7,2,1,1,0.2,1
41.5,0.076576,0.266336,7.674574,0.918919,2.956401,0.068627,6.34491,2.82372,-0.054237,18.631645,0.14552,0.423746,0.366914,0.294928,1,1.5,2,4,2,2,0.3,1
43.52,0.065466,0.353237,7.874498,0.78125,2.252816,0.08,3.547307,2.936549,-0.000202,19.406413,0.104773,0.461403,0.355663,0.283433,1.666667,8.5,0,3,2,2,0.2,1
38.583333,0.072613,0.24712,7.65279,0.857143,5.696368,0.097222,3.080988,2.845022,-0.063094,19.648529,0.535031,0.49187,0.491756,0.265295,0.25,1.5,0.5,4,4,2,0.4,1
40,0.033893,0.100132,6.840681,0.75,1.060849,0.444444,6.319869,2.409267,-0.050898,15.666799,0.114561,2.941996,1.009204,0.961257,0.75,1.5,1.5,4,2,2,0.375,1
75.846154,0.045365,0.144499,7.169773,1,1.483579,0.179487,4.040241,2.674835,-0.220249,20.614284,0.244036,1.257481,0.869193,0.869193,1.666667,4,4,6,2,2,0.1,1
49.318182,0.098769,0.273764,7.516952,0.956522,4.225648,0.136364,3.379459,2.61935,0.170682,18.229084,0.441879,0.850574,0.642475,0.547955,1.666667,1.666667,1.666667,3,3,3,0.1,1
54.307692,0.08484,0.379016,7.674312,0.866667,9.846831,0.128205,3.072214,2.206048,-0.018285,15.312347,0.198074,0.332493,0.29407,0.222396,3.125,6.6,3.4,8,5,5,0.7,1
73.142857,0.073721,0.298728,7.383998,0.933333,2.900503,0.214286,3.520498,3.006867,-0.032141,20.212595,0.331394,1.782155,1.336616,0.807108,6,7.333333,1,4,3,3,0.4,1
